"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2024","1,179.75","1,188.75","1,189.00","1,178.00","132.14K","-0.82%"
"06/13/2024","1,189.50","1,177.00","1,191.25","1,171.00","149.82K","1.04%"
"06/12/2024","1,177.25","1,177.25","1,186.50","1,171.00","161.10K","-0.06%"
"06/11/2024","1,178.00","1,188.25","1,193.00","1,177.00","160.77K","-0.86%"
"06/10/2024","1,188.25","1,179.25","1,190.75","1,175.50","139.38K","0.76%"
"06/07/2024","1,179.25","1,200.50","1,202.50","1,174.25","175.69K","-1.73%"
"06/06/2024","1,200.00","1,176.50","1,204.50","1,176.00","162.16K","1.93%"
"06/05/2024","1,177.25","1,180.25","1,191.75","1,175.25","154.20K","-0.15%"
"06/04/2024","1,179.00","1,184.00","1,189.50","1,176.00","145.53K","-0.46%"
"06/03/2024","1,184.50","1,204.25","1,205.50","1,182.50","119.99K","-1.70%"
"05/31/2024","1,205.00","1,209.75","1,223.75","1,202.75","106.39K","-0.39%"
"05/30/2024","1,209.75","1,213.00","1,220.00","1,207.25","107.75K","-0.35%"
"05/29/2024","1,214.00","1,229.00","1,231.25","1,212.50","123.72K","-1.26%"
"05/28/2024","1,229.50","1,250.25","1,254.75","1,226.25","140.14K","-1.48%"
"05/24/2024","1,248.00","1,239.00","1,251.00","1,236.00","107.26K","0.71%"
"05/23/2024","1,239.25","1,245.75","1,258.25","1,236.00","136.10K","-0.56%"
"05/22/2024","1,246.25","1,235.00","1,249.75","1,233.25","125.07K","0.81%"
"05/21/2024","1,236.25","1,246.50","1,249.25","1,230.00","126.28K","-0.94%"
"05/20/2024","1,248.00","1,227.25","1,250.75","1,224.00","171.39K","1.63%"
"05/17/2024","1,228.00","1,216.50","1,231.25","1,215.25","133.10K","0.97%"
"05/16/2024","1,216.25","1,214.00","1,219.75","1,210.00","99.24K","0.23%"
"05/15/2024","1,213.50","1,215.00","1,232.25","1,209.50","124.94K","1.21%"
"05/14/2024","1,199.00","1,199.00","1,199.00","1,199.00","0.01K","-0.54%"
"05/13/2024","1,205.50","1,205.50","1,205.50","1,205.50","0.01K","0.04%"
"05/10/2024","1,205.00","1,196.75","1,204.75","1,195.00","0.08K","1.03%"
"05/09/2024","1,192.75","1,216.50","1,218.00","1,192.50","0.07K","-1.65%"
"05/08/2024","1,212.75","1,233.50","1,233.50","1,211.25","0.09K","-1.58%"
"05/07/2024","1,232.25","1,234.50","1,240.50","1,230.00","0.05K","-0.20%"
"05/06/2024","1,234.75","1,197.00","1,236.50","1,197.00","0.49K","1.63%"
"05/03/2024","1,215.00","1,198.25","1,216.50","1,197.75","166.94K","1.33%"
"05/02/2024","1,199.00","1,170.25","1,201.75","1,170.25","189.78K","2.46%"
"05/01/2024","1,170.25","1,161.00","1,171.50","1,156.25","88.68K","0.62%"
"04/30/2024","1,163.00","1,182.00","1,184.00","1,158.75","153.69K","-1.61%"
"04/29/2024","1,182.00","1,176.00","1,190.25","1,175.00","173.73K","0.40%"
"04/26/2024","1,177.25","1,179.00","1,181.00","1,172.50","136.04K","-0.21%"
"04/25/2024","1,179.75","1,180.25","1,183.50","1,166.75","173.91K","-0.15%"
"04/24/2024","1,181.50","1,181.00","1,191.75","1,179.25","155.92K","-0.04%"
"04/23/2024","1,182.00","1,176.50","1,184.25","1,173.00","144.32K","0.47%"
"04/22/2024","1,176.50","1,162.50","1,182.25","1,159.75","151.67K","2.26%"
"04/19/2024","1,150.50","1,134.00","1,153.00","1,131.75","124.59K","1.43%"
"04/18/2024","1,134.25","1,149.00","1,149.75","1,133.00","109.35K","-1.33%"
"04/17/2024","1,149.50","1,145.00","1,155.25","1,141.75","104.23K","0.39%"
"04/16/2024","1,145.00","1,157.25","1,163.00","1,143.25","148.38K","-1.14%"
"04/15/2024","1,158.25","1,173.25","1,176.00","1,155.50","134.47K","-1.34%"
"04/12/2024","1,174.00","1,158.50","1,179.75","1,154.00","160.13K","1.27%"
"04/11/2024","1,159.25","1,163.75","1,166.25","1,151.00","163.73K","-0.47%"
